Dataset	Process	Bucket_URL	Subjects	Completed	Failed
abide	denoise	s3://abide-denoise	1112	1112	0
abide2	denoise	s3://abide2-denoise	1082	1082	0
adhd200	denoise	s3://adhd200-denoise	961	959	2
corr	denoise	s3://corr-denoise	1654	1650	4
hbn	denoise	s3://hbn-denoise	1758	1753	5
openneuro	denoise	s3://openneuro-denoise	5793	5520	273
abide	mindboggle	s3://abide-mindboggle	1112	982	130
abide2	mindboggle	s3://abide2-mindboggle	1082	963	119
adhd200	mindboggle	s3://adhd200-mindboggle	961	930	31
corr	mindboggle	s3://corr-mindboggle	1654	1464	190
hbn	mindboggle	s3://hbn-mindboggle	1758	517	TODO
openneuro	mindboggle	s3://openneuro-mindboggle	5793	2794	2999
abide	simple_workflow	s3://abide-mindboggle	1112	983	129
abide2	simple_workflow	s3://abide2-mindboggle	1082	983	99
adhd200	simple_workflow	s3://adhd200-mindboggle	961	946	15
corr	simple_workflow	s3://corr-mindboggle	1654	1459	195
hbn	simple_workflow	s3://hbn-mindboggle	1758	528	TODO
openneuro	simple_workflow	s3://openneuro-mindboggle	5793	2799	2994
abide	mriqc	s3://abide-mriqc	1112	1112	0
abide2	mriqc	s3://abide2-mriqc	1082	1025	57
adhd200	mriqc	s3://adhd200-mriqc	961	960	1
corr	mriqc	s3://corr-mriqc	1654	1644	10
hbn	mriqc	s3://hbn-mriqc	1758	1647	TODO
openneuro	mriqc	s3://openneuro-mriqc	5793	4398	TODO
abide	fmriprep	s3://abide-fmriprep	1112	1100	12
abide2	fmriprep	s3://abide2-fmriprep	1082	714	368
adhd200	fmriprep	s3://adhd200-fmriprep	961	591	370
corr	fmriprep	s3://corr-fmriprep	1654	275	TODO
hbn	fmriprep	s3://hbn-fmriprep	1758	0	TODO
openneuro	fmriprep	s3://openneuro-fmriprep	5793	1233	4560
